Year      POP(thousands)
1950       2525149 
1951       2571868 
1952       2617940 
1953       2664029 
1954       2710678 
1955       2758315 
1956       2807246 
1957       2857663 
1958       2909651 
1959       2963216 
1960       3018344 
1961       3075073 
1962       3133554 
1963       3194075 
1964       3256989 
1965       3322495 
1966       3390686 
1967       3461343 
1968       3533967 
1969       3607866 
1970       3682488 
1971       3757735 
1972       3833595 
1973       3909722 
1974       3985734 
1975       4061399 
1976       4136542 
1977       4211322 
1978       4286282 
1979       4362190 
1980       4439632 
1981       4518602 
1982       4599003 
1983       4681211 
1984       4765658 
1985       4852541 
1986       4942056 
1987       5033805 
1988       5126633 
1989       5218978 
1990       5309668 
1991       5398329 
1992       5485115 
1993       5570045 
1994       5653316 
1995       5735123 
1996       5815392 
1997       5894155 
1998       5971883 
1999       6049205 
2000       6126622 
2001       6204311 
2002       6282302 
2003       6360765 
2004       6439842 
2005       6519636 
2006       6600220 
2007       6681607 
2008       6763733 
2009       6846480 
2010       6929725 
2011       7013427 
2012       7097500 
2013       7181715 
2014       7265786 
2015       7349472 
